epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1726.56,1.17071,0.78316,0.89105,0.70196,0.81529,0.83034,0.62264,1.39984,1.01356,0.90289,0.00195505,0.00195505,0.00195505
145,1738.75,1.16903,0.78695,0.87409,0.70196,0.81529,0.83034,0.62264,1.39984,1.01356,0.90289,0.00189475,0.00189475,0.00189475
146,1750,1.18787,0.83473,0.8863,0.71723,0.81512,0.80206,0.6045,1.39228,0.98222,0.90287,0.00183523,0.00183523,0.00183523
147,1761.85,1.18152,0.81375,0.8784,0.82902,0.77376,0.81053,0.6055,1.41107,0.98346,0.90634,0.00177651,0.00177651,0.00177651
148,1773.49,1.14324,0.78514,0.86301,0.78541,0.79424,0.80201,0.60365,1.41516,0.98047,0.90702,0.00171859,0.00171859,0.00171859
149,1785.33,1.24368,0.80564,0.87474,0.78541,0.79424,0.80201,0.60365,1.41516,0.98047,0.90702,0.00166149,0.00166149,0.00166149
150,1797.34,1.24405,0.83895,0.89661,0.76946,0.81213,0.80121,0.59338,1.40608,0.97436,0.90451,0.00160523,0.00160523,0.00160523
151,1809.45,1.16626,0.78608,0.88204,0.80241,0.80846,0.8308,0.63053,1.41455,0.97418,0.90297,0.00154982,0.00154982,0.00154982
152,1821.1,1.16482,0.79608,0.87859,0.77326,0.82858,0.83007,0.61112,1.42145,0.99365,0.90413,0.00149527,0.00149527,0.00149527
153,1832.52,1.12402,0.79599,0.89141,0.77326,0.82858,0.83007,0.61112,1.42145,0.99365,0.90413,0.00144161,0.00144161,0.00144161
154,1844.37,1.16044,0.77938,0.88106,0.70667,0.84128,0.82857,0.60936,1.41374,1.00644,0.90114,0.00138883,0.00138883,0.00138883
155,1856.4,1.17319,0.79125,0.8816,0.78186,0.73801,0.77628,0.56379,1.40384,1.03668,0.89974,0.00133695,0.00133695,0.00133695
156,1868.42,1.14867,0.76206,0.8811,0.71088,0.76197,0.77035,0.56604,1.39371,1.05803,0.89587,0.00128599,0.00128599,0.00128599
157,1880.06,1.1887,0.81979,0.89296,0.71088,0.76197,0.77035,0.56604,1.39371,1.05803,0.89587,0.00123596,0.00123596,0.00123596
158,1891.85,1.1821,0.73075,0.86685,0.71473,0.76323,0.76289,0.56565,1.38627,1.07079,0.89243,0.00118687,0.00118687,0.00118687
159,1903.44,1.16826,0.79454,0.88572,0.72061,0.76593,0.75896,0.57427,1.39271,1.07709,0.893,0.00113873,0.00113873,0.00113873
160,1915.11,1.15705,0.76052,0.87311,0.7196,0.77047,0.75944,0.58323,1.39812,1.07917,0.89293,0.00109156,0.00109156,0.00109156
161,1927.34,1.14749,0.75203,0.8551,0.7196,0.77047,0.75944,0.58323,1.39812,1.07917,0.89293,0.00104537,0.00104537,0.00104537
162,1939.13,1.14762,0.7794,0.89081,0.72242,0.79363,0.76663,0.59223,1.4083,1.05893,0.89309,0.00100016,0.00100016,0.00100016
163,1950.85,1.21516,0.77539,0.88152,0.69686,0.79462,0.79037,0.60519,1.40779,1.03372,0.89329,0.000955951,0.000955951,0.000955951
164,1962.28,1.14427,0.76516,0.87225,0.69502,0.82786,0.80399,0.61095,1.40665,1.00739,0.89553,0.000912754,0.000912754,0.000912754
165,1974.38,1.12751,0.76497,0.87059,0.69502,0.82786,0.80399,0.61095,1.40665,1.00739,0.89553,0.000870577,0.000870577,0.000870577
166,1985.97,1.13732,0.7867,0.86998,0.68238,0.75903,0.80802,0.61695,1.40495,0.98716,0.89733,0.000829431,0.000829431,0.000829431
167,1997.47,1.14131,0.77123,0.8857,0.72742,0.77171,0.8186,0.63338,1.40424,0.97214,0.89898,0.000789327,0.000789327,0.000789327
168,2008.93,1.10994,0.76106,0.87514,0.73721,0.75879,0.8223,0.6385,1.40031,0.96228,0.8989,0.000750274,0.000750274,0.000750274
169,2020.73,1.10747,0.72232,0.86013,0.73721,0.75879,0.8223,0.6385,1.40031,0.96228,0.8989,0.000712282,0.000712282,0.000712282
170,2032.98,1.10821,0.77309,0.88133,0.71077,0.77835,0.82974,0.64522,1.39335,0.95181,0.89745,0.00067536,0.00067536,0.00067536
171,2044.91,1.12169,0.74318,0.86841,0.73459,0.76192,0.83502,0.63528,1.38904,0.9339,0.89608,0.000639518,0.000639518,0.000639518
172,2056.49,1.12697,0.74379,0.8623,0.76255,0.73903,0.83799,0.64882,1.39266,0.92438,0.89592,0.000604763,0.000604763,0.000604763
173,2068.19,1.15568,0.80886,0.87592,0.76255,0.73903,0.83799,0.64882,1.39266,0.92438,0.89592,0.000571106,0.000571106,0.000571106
174,2079.99,1.0856,0.71734,0.86086,0.79852,0.7275,0.83952,0.6496,1.39643,0.9217,0.89544,0.000538554,0.000538554,0.000538554
175,2091.81,1.12385,0.71732,0.86466,0.79533,0.7277,0.83628,0.64147,1.39845,0.92493,0.89549,0.000507115,0.000507115,0.000507115
176,2103.99,1.12429,0.74014,0.87194,0.76319,0.84303,0.84526,0.64014,1.39732,0.92879,0.89444,0.000476796,0.000476796,0.000476796
177,2116.09,1.12445,0.72669,0.88472,0.76319,0.84303,0.84526,0.64014,1.39732,0.92879,0.89444,0.000447606,0.000447606,0.000447606
178,2127.68,1.06925,0.72667,0.85614,0.77875,0.82389,0.83922,0.6311,1.3965,0.92984,0.89382,0.000419552,0.000419552,0.000419552
179,2139.64,1.15606,0.7663,0.88043,0.83579,0.80779,0.83983,0.63174,1.39184,0.92723,0.89375,0.00039264,0.00039264,0.00039264
180,2151.23,1.10714,0.7341,0.87965,0.84364,0.81377,0.83972,0.6308,1.38418,0.92229,0.89446,0.000366877,0.000366877,0.000366877
181,2162.82,1.08918,0.71879,0.87425,0.84364,0.81377,0.83972,0.6308,1.38418,0.92229,0.89446,0.00034227,0.00034227,0.00034227
182,2174.74,1.06299,0.70942,0.85957,0.84292,0.80791,0.84111,0.62959,1.37877,0.91658,0.89465,0.000318825,0.000318825,0.000318825
183,2186.68,1.06893,0.7318,0.86458,0.8403,0.80924,0.84251,0.63163,1.37373,0.91196,0.89393,0.000296546,0.000296546,0.000296546
184,2198,1.06992,0.70795,0.85526,0.83691,0.80556,0.84762,0.64048,1.36833,0.9077,0.89269,0.000275441,0.000275441,0.000275441
185,2210.17,1.10657,0.69863,0.86971,0.83691,0.80556,0.84762,0.64048,1.36833,0.9077,0.89269,0.000255513,0.000255513,0.000255513
